"ID","Name","Description","Parent"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_fence_gate","ad_astra:recipes/ad_astra.tab_blocks/aeronos_fence_gate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_ladder","ad_astra:recipes/ad_astra.tab_blocks/aeronos_ladder","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_planks","ad_astra:recipes/ad_astra.tab_blocks/aeronos_planks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_slab","ad_astra:recipes/ad_astra.tab_blocks/aeronos_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_stairs","ad_astra:recipes/ad_astra.tab_blocks/aeronos_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_trapdoor","ad_astra:recipes/ad_astra.tab_blocks/aeronos_trapdoor","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/airlock","ad_astra:recipes/ad_astra.tab_blocks/airlock","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/blue_iron_pillar","ad_astra:recipes/ad_astra.tab_blocks/blue_iron_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_block","ad_astra:recipes/ad_astra.tab_blocks/calorite_block","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_pillar","ad_astra:recipes/ad_astra.tab_blocks/calorite_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_pillar_from_calorite_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/calorite_pillar_from_calorite_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_button","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_button","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_pressure_plate","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_pressure_plate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_slab","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_slab_from_calorite_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_slab_from_calorite_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_stairs","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_stairs_from_calorite_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/calorite_plating_stairs_from_calorite_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/calorite_sliding_door","ad_astra:recipes/ad_astra.tab_blocks/calorite_sliding_door","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cheese_block","ad_astra:recipes/ad_astra.tab_blocks/cheese_block","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_bricks_from_glacio_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_bricks_from_glacio_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_slab_from_chiseled_glacio_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_slab_from_chiseled_glacio_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_stairs_from_chiseled_glacio_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_glacio_stone_stairs_from_chiseled_glacio_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_bricks_from_mars_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_bricks_from_mars_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_slab_from_chiseled_mars_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_slab_from_chiseled_mars_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_stairs_from_chiseled_mars_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mars_stone_stairs_from_chiseled_mars_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_bricks_from_mercury_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_bricks_from_mercury_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_slab_from_chiseled_mercury_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_slab_from_chiseled_mercury_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_stairs_from_chiseled_mercury_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_mercury_stone_stairs_from_chiseled_mercury_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_bricks_from_moon_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_bricks_from_moon_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_slab_from_chiseled_moon_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_slab_from_chiseled_moon_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_stairs_from_chiseled_moon_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_moon_stone_stairs_from_chiseled_moon_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_slab_from_chiseled_permafrost_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_slab_from_chiseled_permafrost_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_stairs_from_chiseled_permafrost_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_brick_stairs_from_chiseled_permafrost_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_bricks_from_permafrost_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_permafrost_bricks_from_permafrost_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_bricks_from_venus_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_bricks_from_venus_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_slab_from_chiseled_venus_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_slab_from_chiseled_venus_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_stairs_from_chiseled_venus_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/chiseled_venus_stone_stairs_from_chiseled_venus_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_glacio_stone_bricks_from_smelting_glacio_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_glacio_stone_bricks_from_smelting_glacio_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_mars_stone_bricks_from_smelting_mars_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_mars_stone_bricks_from_smelting_mars_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_mercury_stone_bricks_from_smelting_mercury_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_mercury_stone_bricks_from_smelting_mercury_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_moon_stone_bricks_from_smelting_moon_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_moon_stone_bricks_from_smelting_moon_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_permafrost_bricks_from_smelting_permafrost_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_permafrost_bricks_from_smelting_permafrost_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_venus_sandstone_bricks_from_smelting_venus_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_venus_sandstone_bricks_from_smelting_venus_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/cracked_venus_stone_bricks_from_smelting_venus_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/cracked_venus_stone_bricks_from_smelting_venus_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_block","ad_astra:recipes/ad_astra.tab_blocks/desh_block","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_pillar","ad_astra:recipes/ad_astra.tab_blocks/desh_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_pillar_from_desh_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/desh_pillar_from_desh_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating","ad_astra:recipes/ad_astra.tab_blocks/desh_plating","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_button","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_button","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_pressure_plate","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_pressure_plate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_slab","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_slab_from_desh_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_slab_from_desh_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_stairs","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_plating_stairs_from_desh_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/desh_plating_stairs_from_desh_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/desh_sliding_door","ad_astra:recipes/ad_astra.tab_blocks/desh_sliding_door","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_button","ad_astra:recipes/ad_astra.tab_blocks/glacian_button","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_door","ad_astra:recipes/ad_astra.tab_blocks/glacian_door","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_fence","ad_astra:recipes/ad_astra.tab_blocks/glacian_fence","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_fence_gate","ad_astra:recipes/ad_astra.tab_blocks/glacian_fence_gate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_planks","ad_astra:recipes/ad_astra.tab_blocks/glacian_planks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_pressure_plate","ad_astra:recipes/ad_astra.tab_blocks/glacian_pressure_plate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_sign","ad_astra:recipes/ad_astra.tab_blocks/glacian_sign","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_slab","ad_astra:recipes/ad_astra.tab_blocks/glacian_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_stairs","ad_astra:recipes/ad_astra.tab_blocks/glacian_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacian_trapdoor","ad_astra:recipes/ad_astra.tab_blocks/glacian_trapdoor","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_slab","ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_slab_from_glacio_cobblestone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_slab_from_glacio_cobblestone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_stairs","ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_stairs_from_glacio_cobblestone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_cobblestone_stairs_from_glacio_cobblestone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_pillar","ad_astra:recipes/ad_astra.tab_blocks/glacio_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_pillar_from_glacio_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_pillar_from_glacio_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_slab","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_slab_from_glacio_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_slab_from_glacio_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_stairs","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_stairs_from_glacio_stone_bricks_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_stairs_from_glacio_stone_bricks_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_wall","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_brick_wall","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_bricks","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_bricks","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_bricks_from_polished_glacio_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_bricks_from_polished_glacio_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_from_smelting_glacio_cobblestone","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_from_smelting_glacio_cobblestone","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_slab","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_slab_from_glacio_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_slab_from_glacio_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_stairs","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_stairs_from_glacio_stone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/glacio_stone_stairs_from_glacio_stone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glowing_calorite_pillar","ad_astra:recipes/ad_astra.tab_blocks/glowing_calorite_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glowing_desh_pillar","ad_astra:recipes/ad_astra.tab_blocks/glowing_desh_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glowing_ostrum_pillar","ad_astra:recipes/ad_astra.tab_blocks/glowing_ostrum_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/glowing_steel_pillar","ad_astra:recipes/ad_astra.tab_blocks/glowing_steel_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_pillar","ad_astra:recipes/ad_astra.tab_blocks/iron_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_pillar_from_iron_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/iron_pillar_from_iron_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating","ad_astra:recipes/ad_astra.tab_blocks/iron_plating","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_button","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_button","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_pressure_plate","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_pressure_plate","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_slab","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_slab_from_iron_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_slab_from_iron_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_stairs","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_stairs","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_plating_stairs_from_iron_plating_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/iron_plating_stairs_from_iron_plating_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/iron_sliding_door","ad_astra:recipes/ad_astra.tab_blocks/iron_sliding_door","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/marked_iron_pillar","ad_astra:recipes/ad_astra.tab_blocks/marked_iron_pillar","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_slab","ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_slab","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_slab_from_mars_cobblestone_stonecutting","ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_slab_from_mars_cobblestone_stonecutting","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_stairs","ad_astra:recipes/ad_astra.tab_blocks/mars_cobblestone_stairs","<null>","minecraft:recipes/root"
